Name,Address,Latitude,Longitude,Phone number,Maintenance frequency,Last maintenance
Pharmacie de L'Europe,2600 avenue de L'Europe Montpellier,3.82007582238242,43.6418758814019,+33 4 67 75 16 37,,
Pharmacie de l'ovalie,2750 Boulevard Paul Valery Montpellier,3.84964177363434,43.5950384385676,+33 4 67 27 71 72,,
Pharmacie Ravoire,33 rue du Faubourg Saint Jaumes Montpellier,3.86983035989801,43.6147553694929,+33 4 67 63 38 84,,
Citroen montpellier,730 avenue des pres D'Arenes Montpellier,3.88299726397185,43.5906567896867,+33 4 67 12 67 01,,
Grand Garage de l'Hérault Peugeot Montpellier  (commerce),905 rue de L'Industrie 34070 Montpellier,3.88118577437497,43.5829591232002,+33 4 67 06 25 02,,
Grand Garage de l'Hérault Peugeot Montpellier (atelier),905 rue de L'Industrie 34070 Montpellier,3.88146333986189,43.5835668518977,+33 4 67 06 25 02,,
Centre commercial Polygone  PC Sécurité  (es1 montpellier),1 rue des Pertuisanes Montpellier,3.88578386410133,43.6083221374792,+33 4 67 99 41 60,,
Fnac Montpellier,1 rue des Pertuisanes Montpellier,3.88567009594461,43.608533084106,+33 4 34 09 06 55,,
Galeries La Fayette,1 rue des Pertuisanes Montpellier,3.88553290689801,43.6081092145638,+33 4 67 64 83 00,,
Géant casino Prés d'Arènes (Pc Sécurité),504 avenue du mas D'Argelliers Montpellier,3.88808520626918,43.5862644458562,+33 4 67 86 43 69,,
Géant casino Celleneuve (Pc Sécurité),129 bis avenue de Lodève Montpellier,3.83992050905989,43.6125224311885,+33 4 67 86 43 69,,
Centre Commercial Odysseum,2 place de Lisbonne Montpellier,3.92046111883039,43.6045260380493,+33 4 67 13 50 55,,
Magasin IKEA,Odysseum Montpellier,3.92438334078154,43.6041477471678,,,
Chronopost,1129 rue de la Castelle Montpellier,3.86885456195379,43.5772303288348,+33 4 67 99 11 03,,
DELL,1 rond-point Benjamin Franklin Montpellier,3.91169364237597,43.6184228878598,+33 6 58 57 85 24,,
France 3 Sud Montpellier,10 allée John Napier Montpellier,3.90921456014705,43.6145659123288,+33 4 67 20 30 40,,
France Telecom,245 rue de la Galéra Montpellier,3.83704296453264,43.6384175373801,+33 4 67 14 66 66,,
Sanofi Aventis,371 rue professeur Blayac Montpellier,3.82943567841906,43.6234283009483,+33 4 99 77 78 79,,
Veolia Eau,765 rue Henri Becquerel Montpellier,3.91517282386098,43.6120967007913,+33 4 67 20 73 73,,
Banque de France,98 avenue de Lodève Montpellier,3.85350131999517,43.6102729686678,+33 4 67 06 79 74,,
Mutuelle des motards,1056 rue de la croix Verte Montpellier,3.84315523323025,43.6424574698295,+33 4 67 72 73 20,,
Mutuelle des motards,1027 rue de la croix Verte Montpellier,3.84351019571161,43.6430362841049,+33 4 67 72 73 20,,
Groupama Sud,Place Jean antoine de Chaptal Montpellier,3.867481832318,43.6031265540167,+33 4 67 34 78 86,,
Montpellier beton SERVANT Prestations,1 rue de la Première Écluse Montpellier,3.89578184236649,43.5877632340741,+33 4 67 92 15 10,,
Hôtel IBIS Centre Comédie,allée Jules Milhau Montpellier,3.88315926966268,43.6089881351732,+33 4 99 13 29 99,,
Hôtel IBIS Montpellier Sud,164 avenue Palavas Montpellier,3.89172751069681,43.5892502415571,+33 4 67 58 82 30,,
Hotel mercure,Carrefour de L'Aeroport Montpellier,3.89407184291324,43.6089445188651,+33 4 67 20 63 63,,
Hotel mercure centre,rue de la Spirale Montpellier,3.8854753573672,43.6090903135975,+33 4 67 99 89 89,,
Hôtel NOVOTEL,125 avenue Palavas Montpellier,3.89234988568983,43.5895487282724,+33 4 99 52 34 34,,
CRS 56,1 rue Louis Lépine Montpellier,3.90653256197039,43.6122198713679,+33 4 67 13 17 00,,
Accueil clinique du millenaire Accueil,220 bd Penelope Montpellier,3.91375495574723,43.6020754548258,+33 4 99 53 61 03,,
Accueil clinique du millenaire Urgences,220 bd Penelope Montpellier,3.91353994702831,43.6014966056336,+33 4 99 53 61 03,,
Ametra,201 place de Thessalie Montpellier,3.89226743701407,43.6075603899477,+33 4 67 84 76 40,,
apec,170 rue leon Blum Montpellier,3.89052747927575,43.6087911382346,,,
Arcade SFGE,rue de la Constituante Montpellier,3.89422319849901,43.6019066429198,,,
ASPM SECTION AFPS,1635 avenue albert Einstein Montpellier,3.91678045385988,43.611353296793,,,
Cafétéria UFR AES,257-269 rue Vendémiaire Montpellier,3.89935221425315,43.6030249922346,,,
Caisse MSA Languedoc,4 place Jean antoine de Chaptal Montpellier,3.867250286063,43.6029957689173,,,
Centre Mutualiste Neurologique PROPARA,263 rue du Caducée Montpellier,3.83221035574634,43.6433843141123,,,
Communaute d Agglomeration de Montpellier,50 place Zeus Montpellier,3.89064145141298,43.6076132315809,,,
D.D.S.I.S. HERAULT,2 rue Duval-Jouve Montpellier,3.86542464036371,43.6103113008688,,,
DDTM34 - site du Millénaire,233 rue Guglielmo Marconi Montpellier,3.91125187744154,43.6121329795403,,,
Ecole Supérieure Des Beaux Arts,130 rue Yehudi Menuhin Montpellier,3.88398301810422,43.6171934501755,,,
Faculté de Droit,rue de l'Ecole Mage Montpellier,3.87687940434081,43.6137133197333,,,
faculte de pharmacie,15 avenue charles Flahault Montpellier,3.86185837760728,43.6239507119399,,,
fafsea,2460 avenue albert Einstein Montpellier,3.92771430517088,43.6106200937034,,,
Hotel des impots,10 rue de Louvois Montpellier,3.81969693135514,43.6323422859628,,,
Inset de Montpellier,76 Place de la Révolution Montpellier,3.89825153894021,43.6039740534604,,,
maison agriculture,place Chaptal Montpellier,3.86633331762405,43.6038860774514,,,
TALCO LR,40 rue de Pinville Montpellier,3.90506059873315,43.6138087342656,,,
Zenith Sud,avenue albert Einstein Montpellier,3.93074699761313,43.6128228687641,,,
Action d'Urgence Internationale,1401 rue de Fontcouverte Montpellier,3.85255900020707,43.593528824292,,,
Cfpmea,501 des metairies de Saysset Montpellier,3.89423706945795,43.590608758839,,,
Amphitheatre d'O,121 rue de la Carriérasse Montpellier,3.83507761857429,43.6351213416664,,,
Bâtiment k Iut montpellier 2,139 avenue D'Occitanie Montpellier,3.85149583197922,43.6350358291583,,,
Bibliotheque st charles,rue auguste Broussonnet Montpellier,3.87258313923407,43.6155361284741,,,
Centre de formation professionnel croix rouge,rue de la Valesière Montpellier,3.83009542710286,43.6415334938949,,,
CHRU,avenue augustin Fliche Montpellier,3.86151287229827,43.6295976589593,,,
CHRU euromed,rue du Caduce Montpellier,3.8350137109333,43.6425510750446,,,
CHU Lapeyronie hall d'accueil,Pont Lapeyronie Montpellier,3.85207584346259,43.6301375251917,,,
CHRU lapeyronie,avenue du doyen gaston Giraud Montpellier,3.85081292585135,43.6313022653456,,,
Ipl santé envirronement durable Méditerrranée,778 rue de la croix Verte Montpellier,3.84083470538795,43.6447155958689,,,
Les Jardins de Grasse,1482 rue de Saint-Priest Montpellier,3.83534242876355,43.6375404973304,,,
Parcs Nationaux de France,1037 rue Jean François Breton Montpellier,3.87871734331072,43.6474178462261,,,
Cirad,avenue Agropolis Montpellier,3.86843080997092,43.6504884332442,,,
Boulodrome Bernard Gasset,122 avenue Maurice Planès Montpellier,3.84329173229139,43.5967806417754,,,
IRC KLESIA AGIRC ARRCO,26 allée Jules Milhau 34263 Montpellier,3.88335468668432,43.6090204702181,+33 4 67 58 56 46,,
GESTARE Foyer d'hebergement d'urgence OUSTAL,14 rue alfred Bruyas 34000 Montpellier,3.88173411450129,43.6080668596732,+33 4 67 58 90 21,,
Maison des adolescents de l'hérault (MDA34),9 rue de la République 34000 Montpellier,3.8781326569264,43.6059489536478,+33 4 67 92 99 19,,
Boulangerie Patisserie LES PAINS DE MILA,482 avenue du Mondial de Rugby 34070 Montpellier,3.8526285382251,43.5881764750795,+33 4 67 71 52 13,,
Extra SHOT (salon de thé),44 rue de L'Aiguillerie 34000 Montpellier,3.87914071648409,43.6118620114604,+33 7 68 20 18 69,,
Au pays du soleil Levant,46 rue du Faubourg du Courreau Montpellier,3.87016772275376,43.6085171469819,+33 6 13 72 06 10,,
Zoo de Lunaret,50 avenue Agropolis 34090 Montpellier,3.87319632529271,43.6404472080779,+33 4 67 54 45 20,Tous les ans,2019-04-16
Zoo de Lunaret,avenue Agropolis 34090 Montpellier,3.87346840734586,43.6409437259243,+33 4 67 54 45 20,Tous les ans,2019-05-14
Gymnase Jean Bouin,Avenue du Biterrois 34080 Montpellier,3.82081921967322,43.6327880433471,+33 4 67 75 44 43,Tous les ans,2019-11-01
Centre Culturel Rabelais,29 boulevard Sarrail 34000 Montpellier,3.88032026773112,43.6106902122358,+33 4 67 34 71 33,,
,1 place Jacques Mirouse 34000 Montpellier,3.86982233698134,43.6127835439949,,,
Maison pour tous André Chamson,105 rue Gustave Eiffel 34070 Montpellier,3.83522303051943,43.6092732449105,+33 4 67 75 10 55,Tous les ans,2019-12-01
